tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
551,33,1,1,1,1,1,1,1,1
552,13,1,1,1,1,1,1,1,1
553,6,1,1,1,1,1,1,1,1
554,3,1,1,1,1,1,1,1,1
555,7,1,1,1,1,1,1,1,1
556,27,1,1,1,1,1,1,1,1
557,13,1,1,1,1,1,1,1,1
558,16,1,1,1,1,1,1,1,1
559,21,1,1,1,1,1,1,1,1
560,8,1,1,1,1,1,1,1,1
561,14,1,1,1,1,1,1,1,1
562,25,1,1,1,1,1,1,1,1
563,23,1,1,1,1,1,1,1,1
564,7,1,1,1,1,1,1,1,1
565,6,1,1,1,1,1,1,1,1
566,31,1,1,1,1,1,1,1,1
567,24,1,1,1,1,1,1,1,1
568,15,1,1,1,1,1,1,1,1
569,29,1,1,1,1,1,1,1,1
570,10,1,1,1,1,1,1,1,1
571,21,1,1,1,1,1,1,1,1
572,14,1,1,1,1,1,1,1,1
573,7,1,1,1,1,1,1,1,1
574,23,1,1,1,1,1,1,1,1
575,25,1,1,1,1,1,1,1,1
576,6,1,1,1,1,1,1,1,1
577,29,1,1,1,1,1,1,1,1
578,11,1,1,1,1,1,1,1,1
579,33,1,1,1,1,1,1,1,1
580,35,1,1,1,1,1,1,1,1
581,32,1,1,1,1,1,1,1,1
582,36,1,1,1,1,1,1,1,1
583,22,1,1,1,1,1,1,1,1
584,15,1,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1,1,1
586,30,1,1,1,1,1,1,1,1
587,2,1,1,1,1,1,1,1,1
588,32,1,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1,1,1
590,27,1,1,1,1,1,1,1,1
591,31,1,1,1,1,1,1,1,1
592,24,1,1,1,1,1,1,1,1
593,23,1,1,1,1,1,1,1,1
594,10,1,1,1,1,1,1,1,1
595,5,1,1,1,1,1,1,1,1
596,11,1,1,1,1,1,1,1,1
597,18,1,1,1,1,1,1,1,1
598,21,1,1,1,1,1,1,1,1
599,14,1,1,1,1,1,1,1,1
600,7,1,1,1,1,1,1,1,1
601,28,1,1,1,1,1,1,1,1
602,14,1,1,1,1,1,1,1,1
603,35,1,1,1,1,1,1,1,1
604,31,1,1,1,1,1,1,1,1
605,33,1,1,1,1,1,1,1,1
606,11,1,1,1,1,1,1,1,1
607,6,1,1,1,1,1,1,1,1
608,29,1,1,1,1,1,1,1,1
609,32,1,1,1,1,1,1,1,1
610,7,1,1,1,1,1,1,1,1
611,6,1,1,1,1,1,1,1,1
612,16,1,1,1,1,1,1,1,1
613,16,1,1,1,1,1,1,1,1
614,13,1,1,1,1,1,1,1,1
615,15,1,1,1,1,1,1,1,1
616,37,1,1,1,1,1,1,1,1
617,14,1,1,1,1,1,1,1,1
618,31,1,1,1,1,1,1,1,1
619,31,1,1,1,1,1,1,1,1
620,17,1,1,1,1,1,1,1,1
621,11,1,1,1,1,1,1,1,1
622,31,1,1,1,1,1,1,1,1
623,17,1,1,1,1,1,1,1,1
624,6,1,1,1,1,1,1,1,1
625,20,1,1,1,1,1,1,1,1
626,25,1,1,1,1,1,1,1,1
627,13,1,1,1,1,1,1,1,1
628,10,1,1,1,1,1,1,1,1
629,14,1,1,1,1,1,1,1,1
630,8,1,1,1,1,1,1,1,1
631,13,1,1,1,1,1,1,1,1
632,10,1,1,1,1,1,1,1,1
633,9,1,1,1,1,1,1,1,1
634,22,1,1,1,1,1,1,1,1
635,26,1,1,1,1,1,1,1,1
636,2,1,1,1,1,1,1,1,1
637,3,1,1,1,1,1,1,1,1
638,19,1,1,1,1,1,1,1,1
639,16,1,1,1,1,1,1,1,1
640,5,1,1,1,1,1,1,1,1
641,3,1,1,1,1,1,1,1,1
642,5,1,1,1,1,1,1,1,1
643,17,1,1,1,1,1,1,1,1
644,10,1,1,1,1,1,1,1,1
645,7,1,1,1,1,1,1,1,1
646,14,1,1,1,1,1,1,1,1
647,13,1,1,1,1,1,1,1,1
648,31,1,1,1,1,1,1,1,1
649,4,1,1,1,1,1,1,1,1
650,28,1,1,1,1,1,1,1,1
651,12,1,1,1,1,1,1,1,1
652,35,1,1,1,1,1,1,1,1
653,5,1,1,1,1,1,1,1,1
654,33,1,1,1,1,1,1,1,1
655,20,1,1,1,1,1,1,1,1
656,19,1,1,1,1,1,1,1,1
657,28,1,1,1,1,1,1,1,1
658,12,1,1,1,1,1,1,1,1
659,29,1,1,1,1,1,1,1,1
660,28,1,1,1,1,1,1,1,1
661,25,1,1,1,1,1,1,1,1
662,13,1,1,1,1,1,1,1,1
663,31,1,1,1,1,1,1,1,1
664,15,1,1,1,1,1,1,1,1
665,24,1,1,1,1,1,1,1,1
666,34,1,1,1,1,1,1,1,1
667,24,1,1,1,1,1,1,1,1
668,6,1,1,1,1,1,1,1,1
669,18,1,1,1,1,1,1,1,1
670,21,1,1,1,1,1,1,1,1
671,21,1,1,1,1,1,1,1,1
672,7,1,1,1,1,1,1,1,1
673,17,1,1,1,1,1,1,1,1
674,25,1,1,1,1,1,1,1,1
675,8,1,1,1,1,1,1,1,1
676,37,1,1,1,1,1,1,1,1
677,6,1,1,1,1,1,1,1,1
678,13,1,1,1,1,1,1,1,1
679,18,1,1,1,1,1,1,1,1
680,4,1,1,1,1,1,1,1,1
681,13,1,1,1,1,1,1,1,1
682,7,1,1,1,1,1,1,1,1
683,16,1,1,1,1,1,1,1,1
684,30,1,1,1,1,1,1,1,1
685,35,1,1,1,1,1,1,1,1
686,25,1,1,1,1,1,1,1,1
687,13,1,1,1,1,1,1,1,1
688,14,1,1,1,1,1,1,1,1
689,18,1,1,1,1,1,1,1,1
690,21,1,1,1,1,1,1,1,1
691,13,1,1,1,1,1,1,1,1
692,2,1,1,1,1,1,1,1,1
693,33,1,1,1,1,1,1,1,1
694,1,1,1,1,1,1,1,1,1
695,20,1,1,1,1,1,1,1,1
696,12,1,1,1,1,1,1,1,1
697,37,1,1,1,1,1,1,1,1
698,12,1,1,1,1,1,1,1,1
699,3,1,1,1,1,1,1,1,1
700,34,1,1,1,1,1,1,1,1
701,34,1,1,1,1,1,1,1,1
702,34,1,1,1,1,1,1,1,1
703,6,1,1,1,1,1,1,1,1
704,33,1,1,1,1,1,1,1,1
705,34,1,1,1,1,1,1,1,1
706,4,1,1,1,1,1,1,1,1
707,20,1,1,1,1,1,1,1,1
708,5,1,1,1,1,1,1,1,1
709,20,1,1,1,1,1,1,1,1
710,35,1,1,1,1,1,1,1,1
711,2,1,1,1,1,1,1,1,1
712,29,1,1,1,1,1,1,1,1
713,18,1,1,1,1,1,1,1,1
714,17,1,1,1,1,1,1,1,1
715,21,1,1,1,1,1,1,1,1
716,25,1,1,1,1,1,1,1,1
717,8,1,1,1,1,1,1,1,1
718,7,1,1,1,1,1,1,1,1
719,18,1,1,1,1,1,1,1,1
720,29,1,1,1,1,1,1,1,1
721,15,1,1,1,1,1,1,1,1
722,2,1,1,1,1,1,1,1,1
723,3,1,1,1,1,1,1,1,1
724,8,1,1,1,1,1,1,1,1
725,31,1,1,1,1,1,1,1,1
726,22,1,1,1,1,1,1,1,1
727,9,1,1,1,1,1,1,1,1
728,34,1,1,1,1,1,1,1,1
729,14,1,1,1,1,1,1,1,1
730,6,1,1,1,1,1,1,1,1
731,13,1,1,1,1,1,1,1,1
732,17,1,1,1,1,1,1,1,1
733,21,1,1,1,1,1,1,1,1
734,26,1,1,1,1,1,1,1,1
735,8,1,1,1,1,1,1,1,1
736,8,1,1,1,1,1,1,1,1
737,10,1,1,1,1,1,1,1,1
738,34,1,1,1,1,1,1,1,1
739,17,1,1,1,1,1,1,1,1
740,36,1,1,1,1,1,1,1,1
741,30,1,1,1,1,1,1,1,1
742,10,1,1,1,1,1,1,1,1
743,19,1,1,1,1,1,1,1,1
744,7,1,1,1,1,1,1,1,1
745,10,1,1,1,1,1,1,1,1
746,16,1,1,1,1,1,1,1,1
747,35,1,1,1,1,1,1,1,1
748,11,1,1,1,1,1,1,1,1
749,25,1,1,1,1,1,1,1,1
750,30,1,1,1,1,1,1,1,1
751,9,1,1,1,1,1,1,1,1
752,12,1,1,1,1,1,1,1,1
753,13,1,1,1,1,1,1,1,1
754,4,1,1,1,1,1,1,1,1
755,7,1,1,1,1,1,1,1,1
756,26,1,1,1,1,1,1,1,1
757,9,1,1,1,1,1,1,1,1
758,18,1,1,1,1,1,1,1,1
759,35,1,1,1,1,1,1,1,1
760,26,1,1,1,1,1,1,1,1
761,20,1,1,1,1,1,1,1,1
762,23,1,1,1,1,1,1,1,1
763,18,1,1,1,1,1,1,1,1
764,2,1,1,1,1,1,1,1,1
765,27,1,1,1,1,1,1,1,1
766,12,1,1,1,1,1,1,1,1
767,15,1,1,1,1,1,1,1,1
768,23,1,1,1,1,1,1,1,1
769,31,1,1,1,1,1,1,1,1
770,1,1,1,1,1,1,1,1,1
771,13,1,1,1,1,1,1,1,1
772,32,1,1,1,1,1,1,1,1
773,7,1,1,1,1,1,1,1,1
774,5,1,1,1,1,1,1,1,1
775,11,1,1,1,1,1,1,1,1
776,3,1,1,1,1,1,1,1,1
777,2,1,1,1,1,1,1,1,1
778,36,1,1,1,1,1,1,1,1
779,27,1,1,1,1,1,1,1,1
780,18,1,1,1,1,1,1,1,1
781,26,1,1,1,1,1,1,1,1
782,29,1,1,1,1,1,1,1,1
783,29,1,1,1,1,1,1,1,1
784,2,1,1,1,1,1,1,1,1
785,17,1,1,1,1,1,1,1,1
786,34,1,1,1,1,1,1,1,1
787,7,1,1,1,1,1,1,1,1
788,12,1,1,1,1,1,1,1,1
789,4,1,1,1,1,1,1,1,1
790,18,1,1,1,1,1,1,1,1
791,33,1,1,1,1,1,1,1,1
792,21,1,1,1,1,1,1,1,1
793,3,1,1,1,1,1,1,1,1
794,15,1,1,1,1,1,1,1,1
795,19,1,1,1,1,1,1,1,1
796,35,1,1,1,1,1,1,1,1
797,9,1,1,1,1,1,1,1,1
798,20,1,1,1,1,1,1,1,1
799,23,1,1,1,1,1,1,1,1
800,37,1,1,1,1,1,1,1,1
801,9,1,1,1,1,1,1,1,1
802,3,1,1,1,1,1,1,1,1
803,2,1,1,1,1,1,1,1,1
804,14,1,1,1,1,1,1,1,1
805,11,1,1,1,1,1,1,1,1
806,5,1,1,1,1,1,1,1,1
807,26,1,1,1,1,1,1,1,1
808,18,1,1,1,1,1,1,1,1
809,19,1,1,1,1,1,1,1,1
810,28,1,1,1,1,1,1,1,1
811,16,1,1,1,1,1,1,1,1
812,37,1,1,1,1,1,1,1,1
813,17,1,1,1,1,1,1,1,1
814,25,1,1,1,1,1,1,1,1
815,20,1,1,1,1,1,1,1,1
816,18,1,1,1,1,1,1,1,1
817,26,1,1,1,1,1,1,1,1
818,20,1,1,1,1,1,1,1,1
819,25,1,1,1,1,1,1,1,1
820,19,1,1,1,1,1,1,1,1
821,20,1,1,1,1,1,1,1,1
822,25,1,1,1,1,1,1,1,1
823,14,1,1,1,1,1,1,1,1
824,9,1,1,1,1,1,1,1,1
825,17,1,1,1,1,1,1,1,1
826,31,1,1,1,1,1,1,1,1
827,11,1,1,1,1,1,1,1,1
828,22,1,1,1,1,1,1,1,1
829,24,1,1,1,1,1,1,1,1
830,19,1,1,1,1,1,1,1,1
831,7,1,1,1,1,1,1,1,1
832,31,1,1,1,1,1,1,1,1
833,14,1,1,1,1,1,1,1,1
834,12,1,1,1,1,1,1,1,1
835,19,1,1,1,1,1,1,1,1
836,3,1,1,1,1,1,1,1,1
837,5,1,1,1,1,1,1,1,1
838,28,1,1,1,1,1,1,1,1
839,10,1,1,1,1,1,1,1,1
840,23,1,1,1,1,1,1,1,1
841,6,1,1,1,1,1,1,1,1
842,27,1,1,1,1,1,1,1,1
843,35,1,1,1,1,1,1,1,1
844,9,1,1,1,1,1,1,1,1
845,12,1,1,1,1,1,1,1,1
846,33,1,1,1,1,1,1,1,1
847,18,1,1,1,1,1,1,1,1
848,9,1,1,1,1,1,1,1,1
849,14,1,1,1,1,1,1,1,1
850,11,1,1,1,1,1,1,1,1
851,18,1,1,1,1,1,1,1,1
852,9,1,1,1,1,1,1,1,1
853,24,1,1,1,1,1,1,1,1
854,33,1,1,1,1,1,1,1,1
855,27,1,1,1,1,1,1,1,1
856,9,1,1,1,1,1,1,1,1
857,23,1,1,1,1,1,1,1,1
858,1,1,1,1,1,1,1,1,1
859,15,1,1,1,1,1,1,1,1
860,15,1,1,1,1,1,1,1,1
861,28,1,1,1,1,1,1,1,1
862,17,1,1,1,1,1,1,1,1
863,2,1,1,1,1,1,1,1,1
864,5,1,1,1,1,1,1,1,1
865,10,1,1,1,1,1,1,1,1
866,17,1,1,1,1,1,1,1,1
867,35,1,1,1,1,1,1,1,1
868,28,1,1,1,1,1,1,1,1
869,23,1,1,1,1,1,1,1,1
870,8,1,1,1,1,1,1,1,1
871,10,1,1,1,1,1,1,1,1
872,37,1,1,1,1,1,1,1,1
873,25,1,1,1,1,1,1,1,1
874,22,1,1,1,1,1,1,1,1
875,32,1,1,1,1,1,1,1,1
876,20,1,1,1,1,1,1,1,1
877,31,1,1,1,1,1,1,1,1
878,14,1,1,1,1,1,1,1,1
879,32,1,1,1,1,1,1,1,1
880,17,1,1,1,1,1,1,1,1
881,14,1,1,1,1,1,1,1,1
882,18,1,1,1,1,1,1,1,1
883,10,1,1,1,1,1,1,1,1
884,32,1,1,1,1,1,1,1,1
885,29,1,1,1,1,1,1,1,1
886,5,1,1,1,1,1,1,1,1
887,2,1,1,1,1,1,1,1,1
888,35,1,1,1,1,1,1,1,1
889,21,1,1,1,1,1,1,1,1
890,9,1,1,1,1,1,1,1,1
891,17,1,1,1,1,1,1,1,1
892,36,1,1,1,1,1,1,1,1
893,1,1,1,1,1,1,1,1,1
894,6,1,1,1,1,1,1,1,1
895,12,1,1,1,1,1,1,1,1
896,13,1,1,1,1,1,1,1,1
897,19,1,1,1,1,1,1,1,1
898,28,1,1,1,1,1,1,1,1
899,16,1,1,1,1,1,1,1,1
900,29,1,1,1,1,1,1,1,1
901,11,1,1,1,1,1,1,1,1
902,31,1,1,1,1,1,1,1,1
903,32,1,1,1,1,1,1,1,1
904,33,1,1,1,1,1,1,1,1
905,10,1,1,1,1,1,1,1,1
906,2,1,1,1,1,1,1,1,1
907,10,1,1,1,1,1,1,1,1
908,18,1,1,1,1,1,1,1,1
909,10,1,1,1,1,1,1,1,1
910,20,1,1,1,1,1,1,1,1
911,31,1,1,1,1,1,1,1,1
912,1,1,1,1,1,1,1,1,1
913,35,1,1,1,1,1,1,1,1
914,11,1,1,1,1,1,1,1,1
915,24,1,1,1,1,1,1,1,1
916,3,1,1,1,1,1,1,1,1
917,6,1,1,1,1,1,1,1,1
918,30,1,1,1,1,1,1,1,1
919,18,1,1,1,1,1,1,1,1
920,12,1,1,1,1,1,1,1,1
921,18,1,1,1,1,1,1,1,1
922,37,1,1,1,1,1,1,1,1
923,35,1,1,1,1,1,1,1,1
924,13,1,1,1,1,1,1,1,1
925,24,1,1,1,1,1,1,1,1
926,25,1,1,1,1,1,1,1,1
927,37,1,1,1,1,1,1,1,1
928,2,1,1,1,1,1,1,1,1
929,30,1,1,1,1,1,1,1,1
930,15,1,1,1,1,1,1,1,1
931,34,1,1,1,1,1,1,1,1
932,13,1,1,1,1,1,1,1,1
933,31,1,1,1,1,1,1,1,1
934,9,1,1,1,1,1,1,1,1
935,35,1,1,1,1,1,1,1,1
936,18,1,1,1,1,1,1,1,1
937,22,1,1,1,1,1,1,1,1
938,21,1,1,1,1,1,1,1,1
939,9,1,1,1,1,1,1,1,1
940,13,1,1,1,1,1,1,1,1
941,24,1,1,1,1,1,1,1,1
942,10,1,1,1,1,1,1,1,1
943,18,1,1,1,1,1,1,1,1
944,29,1,1,1,1,1,1,1,1
945,6,1,1,1,1,1,1,1,1
946,31,1,1,1,1,1,1,1,1
947,31,1,1,1,1,1,1,1,1
948,15,1,1,1,1,1,1,1,1
949,6,1,1,1,1,1,1,1,1
950,36,1,1,1,1,1,1,1,1
951,19,1,1,1,1,1,1,1,1
952,26,1,1,1,1,1,1,1,1
953,37,1,1,1,1,1,1,1,1
954,1,1,1,1,1,1,1,1,1
955,18,1,1,1,1,1,1,1,1
956,32,1,1,1,1,1,1,1,1
957,23,1,1,1,1,1,1,1,1
958,35,1,1,1,1,1,1,1,1
959,14,1,1,1,1,1,1,1,1
960,8,1,1,1,1,1,1,1,1
961,21,1,1,1,1,1,1,1,1
962,12,1,1,1,1,1,1,1,1
963,17,1,1,1,1,1,1,1,1
964,8,1,1,1,1,1,1,1,1
965,12,1,1,1,1,1,1,1,1
966,25,1,1,1,1,1,1,1,1
967,11,1,1,1,1,1,1,1,1
968,36,1,1,1,1,1,1,1,1
969,20,1,1,1,1,1,1,1,1
970,36,1,1,1,1,1,1,1,1
971,15,1,1,1,1,1,1,1,1
972,13,1,1,1,1,1,1,1,1
973,27,1,1,1,1,1,1,1,1
974,19,1,1,1,1,1,1,1,1
975,22,1,1,1,1,1,1,1,1
976,35,1,1,1,1,1,1,1,1
977,1,1,1,1,1,1,1,1,1
978,14,1,1,1,1,1,1,1,1
979,36,1,1,1,1,1,1,1,1
980,20,1,1,1,1,1,1,1,1
981,5,1,1,1,1,1,1,1,1
982,4,1,1,1,1,1,1,1,1
983,1,1,1,1,1,1,1,1,1
984,27,1,1,1,1,1,0,0,0
985,15,1,1,1,1,1,0,0,0
986,31,1,1,1,1,1,0,0,0
987,25,1,1,1,1,1,0,0,0
988,15,1,1,1,1,1,0,0,0
989,1,1,1,1,1,1,0,0,0
990,37,1,1,1,1,1,0,0,0
991,22,1,1,1,1,1,0,0,0
992,6,1,1,1,1,1,0,0,0
993,8,1,1,1,1,1,0,0,0
994,8,1,1,1,1,1,0,0,0
995,16,1,1,1,1,1,0,0,0
996,29,1,1,1,1,1,0,0,0
997,36,1,1,1,1,1,0,0,0
998,2,1,1,1,1,1,0,0,0
999,33,1,1,1,1,1,0,0,0
1000,31,1,1,1,1,1,0,0,0
1001,30,1,1,1,1,1,0,0,0
1002,5,1,1,1,1,1,0,0,0
1003,16,1,1,1,1,1,0,0,0
1004,27,1,1,1,1,1,0,0,0
1005,5,1,1,1,1,1,0,0,0
1006,33,1,1,1,1,1,0,0,0
1007,29,1,1,1,1,1,0,0,0
1008,10,1,1,1,1,1,0,0,0
1009,2,1,1,1,1,1,0,0,0
1010,1,1,1,1,1,1,0,0,0
1011,4,1,1,1,1,1,0,0,0
1012,25,1,1,1,1,1,0,0,0
1013,1,1,1,1,1,1,0,0,0
1014,9,1,1,1,1,1,0,0,0
1015,5,1,1,1,1,1,0,0,0
1016,27,1,1,1,1,1,0,0,0
1017,14,1,1,1,1,1,0,0,0
1018,21,1,1,1,1,1,0,0,0
1019,32,1,1,1,1,1,0,0,0
1020,17,1,1,1,1,1,0,0,0
1021,13,1,1,1,1,1,0,0,0
1022,17,1,1,1,1,1,0,0,0
1023,19,1,1,1,1,1,0,0,0
1024,6,1,1,1,1,1,0,0,0
1025,12,1,1,1,1,1,0,0,0
1026,34,1,1,1,1,1,0,0,0
1027,3,1,1,1,1,1,0,0,0
1028,8,1,1,1,1,1,0,0,0
1029,27,1,1,1,1,1,0,0,0
1030,30,1,1,1,1,1,0,0,0
1031,14,1,1,1,1,1,0,0,0
1032,23,1,1,1,1,1,0,0,0
1033,15,1,1,1,1,1,0,0,0
1034,2,1,1,1,1,1,0,0,0
1035,35,1,1,1,1,1,0,0,0
1036,7,1,1,1,1,1,0,0,0
1037,23,1,1,1,1,1,0,0,0
1038,4,1,1,1,1,1,0,0,0
1039,18,1,1,1,1,1,0,0,0
1040,37,1,1,1,1,1,0,0,0
1041,12,1,1,1,1,1,0,0,0
1042,6,1,1,1,1,1,0,0,0
1043,23,1,1,1,1,1,0,0,0
1044,3,1,1,1,1,1,0,0,0
1045,17,1,1,1,1,1,0,0,0
1046,4,1,1,1,1,1,0,0,0
1047,1,1,1,1,1,1,0,0,0
1048,35,1,1,1,1,1,0,0,0
1049,16,1,1,1,1,1,0,0,0
1050,7,1,1,1,1,1,0,0,0
1051,20,1,1,1,1,1,0,0,0
1052,3,1,1,1,1,1,0,0,0
1053,33,1,1,1,1,1,0,0,0
1054,16,1,1,1,1,1,0,0,0
1055,27,1,1,1,1,1,0,0,0
1056,1,1,1,1,1,1,0,0,0
1057,36,1,1,1,1,1,0,0,0
1058,6,1,1,1,1,1,0,0,0
1059,19,1,1,1,1,1,0,0,0
1060,35,1,1,1,1,1,0,0,0
1061,21,1,1,1,1,1,0,0,0
1062,11,1,1,1,1,1,0,0,0
1063,36,1,1,1,1,1,0,0,0
1064,18,1,1,1,1,1,0,0,0
1065,25,1,1,1,1,1,0,0,0
1066,25,1,1,1,1,1,0,0,0
1067,24,1,1,1,1,1,0,0,0
1068,17,1,1,1,1,1,0,0,0
1069,1,1,1,1,1,1,0,0,0
1070,3,1,1,1,1,1,0,0,0
1071,17,1,1,1,1,1,0,0,0
1072,23,1,1,1,1,1,0,0,0
1073,22,1,1,1,1,1,0,0,0
1074,24,1,1,1,1,1,0,0,0
1075,21,1,1,1,1,1,0,0,0
1076,5,1,1,1,1,1,0,0,0
1077,1,1,1,1,1,1,0,0,0
1078,15,1,1,1,1,1,0,0,0
1079,21,1,1,1,1,1,0,0,0
1080,33,1,1,1,1,1,0,0,0
1081,24,1,1,1,1,1,0,0,0
1082,7,1,1,1,1,1,0,0,0
1083,27,1,1,1,1,1,0,0,0
1084,13,1,1,1,1,1,0,0,0
1085,6,1,1,1,1,1,0,0,0
1086,32,1,1,1,1,1,0,0,0
1087,21,1,1,1,1,1,0,0,0
1088,16,1,1,1,1,1,0,0,0
1089,18,1,1,1,1,1,0,0,0
1090,25,1,1,1,1,1,0,0,0
1091,24,1,1,1,1,1,0,0,0
1092,19,1,1,1,1,1,0,0,0
1093,33,1,1,1,1,1,0,0,0
1094,37,1,1,1,1,1,0,0,0
1095,1,1,1,1,1,1,0,0,0
1096,1,1,1,1,1,1,0,0,0
1097,21,1,1,1,1,1,0,0,0
1098,34,1,1,1,1,1,0,0,0
1099,27,1,1,1,1,1,0,0,0
