tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
1100,22,1,1,1,1,1,0,0,0
1101,37,1,1,1,1,1,0,0,0
1102,31,1,1,1,1,1,0,0,0
1103,28,1,1,1,1,1,0,0,0
1104,7,1,1,1,1,1,0,0,0
1105,22,1,1,1,1,1,0,0,0
1106,22,1,1,1,1,1,0,0,0
1107,32,1,1,1,1,1,0,0,0
1108,27,1,1,1,1,1,0,0,0
1109,29,1,1,1,1,1,0,0,0
1110,23,1,1,1,1,1,0,0,0
1111,20,1,1,1,1,1,0,0,0
1112,32,1,1,1,1,1,0,0,0
1113,33,1,1,1,1,1,0,0,0
1114,10,1,1,1,1,1,0,0,0
1115,13,1,1,1,1,1,0,0,0
1116,34,1,1,1,1,1,0,0,0
1117,1,1,1,1,1,1,0,0,0
1118,37,1,1,1,1,1,0,0,0
1119,1,1,1,1,1,1,0,0,0
1120,36,1,1,1,1,1,0,0,0
1121,5,1,1,1,1,0,1,0,0
1122,31,1,1,1,1,0,1,0,0
1123,8,1,1,1,1,0,1,0,0
1124,6,1,1,1,1,0,1,0,0
1125,25,1,1,1,1,0,1,0,0
1126,27,1,1,1,1,0,1,0,0
1127,25,1,1,1,1,0,1,0,0
1128,35,1,1,1,1,0,1,0,0
1129,7,1,1,1,1,0,1,0,0
1130,36,1,1,1,1,0,1,0,0
1131,31,1,1,1,1,0,1,0,0
1132,16,1,1,1,1,0,1,0,0
1133,4,1,1,1,1,0,1,0,0
1134,4,1,1,1,1,0,1,0,0
1135,3,1,1,1,1,0,1,0,0
1136,36,1,1,1,1,0,1,0,0
1137,10,1,1,1,1,0,1,0,0
1138,11,1,1,1,1,0,1,0,0
1139,34,1,1,1,1,0,1,0,0
1140,5,1,1,1,1,0,1,0,0
1141,4,1,1,1,1,0,1,0,0
1142,4,1,1,1,1,0,1,0,0
1143,5,1,1,1,1,0,1,0,0
1144,18,1,1,1,1,0,1,0,0
1145,4,1,1,1,1,0,1,0,0
1146,33,1,1,1,1,0,1,0,0
1147,29,1,1,1,1,0,1,0,0
1148,21,1,1,1,1,0,1,0,0
1149,1,1,1,1,1,0,1,0,0
1150,33,1,1,1,1,0,1,0,0
1151,9,1,1,1,1,0,1,0,0
1152,35,1,1,1,1,0,1,0,0
1153,9,1,1,1,1,0,1,0,0
1154,6,1,1,1,1,0,1,0,0
1155,11,1,1,1,1,0,1,0,0
1156,31,1,1,1,1,0,1,0,0
1157,6,1,1,1,1,0,1,0,0
1158,36,1,1,1,1,0,1,0,0
1159,24,1,1,1,1,0,1,0,0
1160,32,1,1,1,1,0,1,0,0
1161,20,1,1,1,1,0,1,0,0
1162,32,1,1,1,1,0,1,0,0
1163,34,1,1,1,1,0,1,0,0
1164,28,1,1,1,1,0,1,0,0
1165,16,1,1,1,1,0,1,0,0
1166,24,1,1,1,1,0,1,0,0
1167,28,1,1,1,1,0,1,0,0
1168,10,1,1,1,1,0,1,0,0
1169,11,1,1,1,1,0,1,0,0
1170,9,1,1,1,1,0,1,0,0
1171,23,1,1,1,1,0,1,0,0
1172,20,1,1,1,1,0,1,0,0
1173,21,1,1,1,1,0,1,0,0
1174,23,1,1,1,1,0,1,0,0
1175,1,1,1,1,1,0,1,0,0
1176,8,1,1,1,1,0,1,0,0
1177,10,1,1,1,1,0,1,0,0
1178,35,1,1,1,1,0,1,0,0
1179,19,1,1,1,1,0,1,0,0
1180,19,1,1,1,1,0,1,0,0
1181,17,1,1,1,1,0,1,0,0
1182,11,1,1,1,1,0,1,0,0
1183,26,1,1,1,1,0,1,0,0
1184,36,1,1,1,1,0,1,0,0
1185,19,1,1,1,1,0,1,0,0
1186,2,1,1,1,1,0,1,0,0
1187,16,1,1,1,1,0,1,0,0
1188,9,1,1,1,1,0,1,0,0
1189,22,1,1,1,1,0,1,0,0
1190,21,1,1,1,1,0,1,0,0
1191,34,1,1,1,1,0,1,0,0
1192,31,1,1,1,1,0,1,0,0
1193,17,1,1,1,1,0,1,0,0
1194,36,1,1,1,1,0,1,0,0
1195,8,1,1,1,1,0,1,0,0
1196,14,1,1,1,1,0,1,0,0
1197,20,1,1,1,1,0,1,0,0
1198,22,1,1,1,1,0,1,0,0
1199,15,1,1,1,1,0,1,0,0
1200,30,1,1,1,1,0,1,0,0
1201,1,1,1,1,1,0,1,0,0
1202,4,1,1,1,1,0,1,0,0
1203,17,1,1,1,1,0,1,0,0
1204,22,1,1,1,1,0,1,0,0
1205,24,1,1,1,1,0,1,0,0
1206,25,1,1,1,1,0,1,0,0
1207,3,1,1,1,1,0,1,0,0
1208,4,1,1,1,1,0,1,0,0
1209,10,1,1,1,1,0,1,0,0
1210,21,1,1,1,1,0,1,0,0
1211,1,1,1,1,1,0,1,0,0
1212,2,1,1,1,1,0,1,0,0
1213,25,1,1,1,1,0,1,0,0
1214,21,1,1,1,1,0,1,0,0
1215,8,1,1,1,1,0,1,0,0
1216,27,1,1,1,1,0,1,0,0
1217,9,1,1,1,1,0,1,0,0
1218,9,1,1,1,1,0,1,0,0
1219,23,1,1,1,1,0,1,0,0
1220,34,1,1,1,1,0,1,0,0
1221,17,1,1,1,1,0,1,0,0
1222,35,1,1,1,1,0,1,0,0
1223,22,1,1,1,1,0,1,0,0
1224,36,1,1,1,1,0,1,0,0
1225,34,1,1,1,1,0,1,0,0
1226,2,1,1,1,1,0,1,0,0
1227,37,1,1,1,1,0,1,0,0
1228,21,1,1,1,1,0,1,0,0
1229,26,1,1,1,1,0,1,0,0
1230,34,1,1,1,1,0,1,0,0
1231,3,1,1,1,1,0,1,0,0
1232,31,1,1,1,1,0,1,0,0
1233,12,1,1,1,1,0,1,0,0
1234,20,1,1,1,1,0,1,0,0
1235,8,1,1,1,1,0,1,0,0
1236,22,1,1,1,1,0,1,0,0
1237,1,1,1,1,1,0,1,0,0
1238,24,1,1,1,1,0,1,0,0
1239,9,1,1,1,1,0,1,0,0
1240,30,1,1,1,1,0,1,0,0
1241,37,1,1,1,1,0,1,0,0
1242,23,1,1,1,1,0,1,0,0
1243,2,1,1,1,1,0,1,0,0
1244,37,1,1,1,1,0,1,0,0
1245,9,1,1,1,1,0,1,0,0
1246,6,1,1,1,1,0,1,0,0
1247,11,1,1,1,1,0,1,0,0
1248,27,1,1,1,1,0,1,0,0
1249,21,1,1,1,1,0,1,0,0
1250,17,1,1,1,1,0,1,0,0
1251,32,1,1,1,1,0,1,0,0
1252,4,1,1,1,1,0,1,0,0
1253,27,1,1,1,1,0,1,0,0
1254,27,1,1,1,1,0,1,0,0
1255,27,1,1,1,1,0,1,0,0
1256,6,1,1,1,1,0,1,0,0
1257,31,1,1,1,1,0,1,0,0
1258,17,1,1,1,1,0,1,0,0
1259,5,1,1,1,1,0,1,0,0
1260,13,1,1,1,1,0,1,0,0
1261,11,1,1,1,1,0,1,0,0
1262,15,1,1,1,1,0,1,0,0
1263,10,1,1,1,1,0,1,0,0
1264,10,1,1,1,1,0,1,0,0
1265,25,1,1,1,1,0,1,0,0
1266,30,1,1,1,1,0,1,0,0
1267,17,1,1,1,1,0,1,0,0
1268,13,1,1,1,1,0,1,0,0
1269,37,1,1,1,1,0,1,0,0
1270,4,1,1,1,1,0,1,0,0
1271,34,1,1,1,1,0,1,0,0
1272,3,1,1,1,1,0,1,0,0
1273,13,1,1,1,1,0,1,0,0
1274,21,1,1,1,1,0,1,0,0
1275,4,1,1,1,1,0,1,0,0
1276,24,1,1,1,1,0,1,0,0
1277,1,1,1,1,1,0,1,0,0
1278,26,1,1,1,0,0,0,0,0
1279,27,1,1,1,0,0,0,0,0
1280,7,1,1,1,0,0,0,0,0
1281,33,1,1,1,0,0,0,0,0
1282,8,1,1,1,0,0,0,0,0
1283,22,1,1,1,0,0,0,0,0
1284,10,1,1,1,0,0,0,0,0
1285,8,1,1,1,0,0,0,0,0
1286,4,1,1,1,0,0,0,0,0
1287,31,1,1,1,0,0,0,0,0
1288,18,1,1,1,0,0,0,0,0
1289,23,1,1,1,0,0,0,0,0
1290,2,1,1,1,0,0,0,0,0
1291,9,1,1,1,0,0,0,0,0
1292,9,1,1,1,0,0,0,0,0
1293,14,1,1,1,0,0,0,0,0
1294,20,1,1,1,0,0,0,0,0
1295,35,1,1,1,0,0,0,0,0
1296,3,1,1,1,0,0,0,0,0
1297,12,1,1,1,0,0,0,0,0
1298,8,1,1,1,0,0,0,0,0
1299,27,1,1,1,0,0,0,0,0
1300,19,1,1,1,0,0,0,0,0
1301,37,1,1,1,0,0,0,0,0
1302,30,1,1,1,0,0,0,0,0
1303,35,1,1,1,0,0,0,0,0
1304,31,1,1,1,0,0,0,0,0
1305,26,1,1,1,0,0,0,0,0
1306,20,1,1,1,0,0,0,0,0
1307,23,1,1,1,0,0,0,0,0
1308,22,1,1,1,0,0,0,0,0
1309,30,1,1,1,0,0,0,0,0
1310,35,1,1,1,0,0,0,0,0
1311,4,1,1,1,0,0,0,0,0
1312,31,1,1,1,0,0,0,0,0
1313,8,1,1,1,0,0,0,0,0
1314,6,1,1,1,0,0,0,0,0
1315,23,1,1,1,0,0,0,0,0
1316,14,1,1,1,0,0,0,0,0
1317,20,1,1,1,0,0,0,0,0
1318,26,1,1,1,0,0,0,0,0
1319,28,1,1,1,0,0,0,0,0
1320,19,1,1,1,0,0,0,0,0
1321,20,1,1,1,0,0,0,0,0
1322,12,1,1,1,0,0,0,0,0
1323,32,1,1,1,0,0,0,0,0
1324,25,1,1,1,0,0,0,0,0
1325,31,1,1,1,0,0,0,0,0
1326,20,1,1,1,0,0,0,0,0
1327,28,1,1,1,0,0,0,0,0
1328,34,1,1,1,0,0,0,0,0
1329,20,1,1,1,0,0,0,0,0
1330,33,1,1,1,0,0,0,0,0
1331,16,1,1,1,0,0,0,0,0
1332,4,1,1,1,0,0,0,0,0
1333,1,1,1,1,0,0,0,0,0
1334,2,1,1,1,0,0,0,0,0
1335,28,1,1,1,0,0,0,0,0
1336,10,1,1,1,0,0,0,0,0
1337,17,1,1,1,0,0,0,0,0
1338,21,1,1,1,0,0,0,0,0
1339,12,1,1,1,0,0,0,0,0
1340,9,1,1,1,0,0,0,0,0
1341,27,1,1,1,0,0,0,0,0
1342,23,1,1,1,0,0,0,0,0
1343,30,1,1,1,0,0,0,0,0
1344,6,1,1,1,0,0,0,0,0
1345,16,1,1,1,0,0,0,0,0
1346,30,1,1,1,0,0,0,0,0
1347,4,1,1,1,0,0,0,0,0
1348,7,1,1,1,0,0,0,0,0
1349,3,1,1,1,0,0,0,0,0
1350,10,1,1,1,0,0,0,0,0
1351,33,1,1,1,0,0,0,0,0
1352,21,1,1,1,0,0,0,0,0
1353,8,1,1,1,0,0,0,0,0
1354,27,1,1,1,0,0,0,0,0
1355,14,1,1,1,0,0,0,0,0
1356,16,1,1,1,0,0,0,0,0
1357,22,1,1,1,0,0,0,0,0
1358,37,1,1,1,0,0,0,0,0
1359,37,1,1,1,0,0,0,0,0
1360,15,1,1,1,0,0,0,0,0
1361,34,1,1,1,0,0,0,0,0
1362,35,1,1,1,0,0,0,0,0
1363,1,1,1,1,0,0,0,0,0
1364,28,1,1,1,0,0,0,0,0
1365,24,1,1,1,0,0,0,0,0
1366,26,1,1,1,0,0,0,0,0
1367,6,1,1,1,0,0,0,0,0
1368,37,1,1,1,0,0,0,0,0
1369,26,1,1,1,0,0,0,0,0
1370,17,1,1,1,0,0,0,0,0
1371,13,1,1,1,0,0,0,0,0
1372,27,1,1,1,0,0,0,0,0
1373,3,1,1,1,0,0,0,0,0
1374,35,1,1,1,0,0,0,0,0
1375,25,1,1,1,0,0,0,0,0
1376,31,1,1,1,0,0,0,0,0
1377,16,1,1,1,0,0,0,0,0
1378,10,1,1,1,0,0,0,0,0
1379,11,1,1,1,0,0,0,0,0
1380,1,1,1,1,0,0,0,0,0
1381,34,1,1,1,0,0,0,0,0
1382,22,1,1,1,0,0,0,0,0
1383,35,1,1,1,0,0,0,0,0
1384,28,1,1,1,0,0,0,0,0
1385,7,1,1,1,0,0,0,0,0
1386,25,1,1,1,0,0,0,0,0
1387,35,1,1,1,0,0,0,0,0
1388,20,1,1,1,0,0,0,0,0
1389,16,1,1,1,0,0,0,0,0
1390,25,1,1,1,0,0,0,0,0
1391,25,1,1,1,0,0,0,0,0
1392,19,1,1,1,0,0,0,0,0
1393,17,1,1,1,0,0,0,0,0
1394,18,1,1,1,0,0,0,0,0
1395,1,1,1,1,0,0,0,0,0
1396,2,1,1,1,0,0,0,0,0
1397,15,1,1,1,0,0,0,0,0
1398,29,1,1,1,0,0,0,0,0
1399,11,1,1,1,0,0,0,0,0
1400,4,1,1,1,0,0,0,0,0
1401,10,1,1,1,0,0,0,0,0
1402,4,1,1,1,0,0,0,0,0
1403,8,1,1,1,0,0,0,0,0
1404,21,1,1,1,0,0,0,0,0
1405,21,1,1,1,0,0,0,0,0
1406,3,1,1,1,0,0,0,0,0
1407,5,1,1,1,0,0,0,0,0
1408,3,1,1,1,0,0,0,0,0
1409,23,1,1,1,0,0,0,0,0
1410,20,1,1,1,0,0,0,0,0
1411,7,1,1,1,0,0,0,0,0
1412,1,1,1,1,0,0,0,0,0
1413,27,1,1,1,0,0,0,0,0
1414,37,1,1,1,0,0,0,0,0
1415,10,1,1,1,0,0,0,0,0
1416,12,1,1,1,0,0,0,0,0
1417,7,1,1,1,0,0,0,0,0
1418,16,1,1,1,0,0,0,0,0
1419,35,1,1,1,0,0,0,0,0
1420,4,1,1,1,0,0,0,0,0
1421,29,1,1,1,0,0,0,0,0
1422,29,1,1,1,0,0,0,0,0
1423,24,1,1,1,0,0,0,0,0
1424,3,1,1,1,0,0,0,0,0
1425,32,1,1,1,0,0,0,0,0
1426,32,1,1,1,0,0,0,0,0
1427,23,1,1,1,0,0,0,0,0
1428,26,1,1,1,0,0,0,0,0
1429,37,1,1,1,0,0,0,0,0
1430,21,1,1,1,0,0,0,0,0
1431,35,1,1,1,0,0,0,0,0
1432,14,1,1,1,0,0,0,0,0
1433,4,1,1,1,0,0,0,0,0
1434,2,1,1,1,0,0,0,0,0
1435,10,1,1,1,0,0,0,0,0
1436,27,1,1,1,0,0,0,0,0
1437,1,1,1,1,0,0,0,0,0
1438,34,1,1,1,0,0,0,0,0
1439,32,1,1,1,0,0,0,0,0
1440,33,1,1,1,0,0,0,0,0
1441,20,1,1,1,0,0,0,0,0
1442,22,1,1,1,0,0,0,0,0
1443,32,1,1,1,0,0,0,0,0
1444,22,1,1,1,0,0,0,0,0
1445,6,1,1,1,0,0,0,0,0
1446,31,1,1,1,0,0,0,0,0
1447,23,1,1,1,0,0,0,0,0
1448,17,1,1,1,0,0,0,0,0
1449,8,1,1,1,0,0,0,0,0
1450,15,1,1,1,0,0,0,0,0
1451,16,1,1,1,0,0,0,0,0
1452,26,1,1,1,0,0,0,0,0
1453,19,1,1,1,0,0,0,0,0
1454,21,1,1,1,0,0,0,0,0
1455,30,1,1,1,0,0,0,0,0
1456,7,1,1,0,0,0,0,0,0
1457,5,1,1,0,0,0,0,0,0
1458,22,1,1,0,0,0,0,0,0
1459,14,1,1,0,0,0,0,0,0
1460,18,1,1,0,0,0,0,0,0
1461,3,1,1,0,0,0,0,0,0
1462,13,1,1,0,0,0,0,0,0
1463,7,1,1,0,0,0,0,0,0
1464,35,1,1,0,0,0,0,0,0
1465,31,1,1,0,0,0,0,0,0
1466,26,1,1,0,0,0,0,0,0
1467,1,1,1,0,0,0,0,0,0
1468,16,1,1,0,0,0,0,0,0
1469,15,1,1,0,0,0,0,0,0
1470,35,1,1,0,0,0,0,0,0
1471,17,1,1,0,0,0,0,0,0
1472,15,1,1,0,0,0,0,0,0
1473,2,1,1,0,0,0,0,0,0
1474,14,1,1,0,0,0,0,0,0
1475,30,1,1,0,0,0,0,0,0
1476,32,1,1,0,0,0,0,0,0
1477,31,1,1,0,0,0,0,0,0
1478,18,1,1,0,0,0,0,0,0
1479,25,1,1,0,0,0,0,0,0
1480,1,1,1,0,0,0,0,0,0
1481,3,1,1,0,0,0,0,0,0
1482,32,1,1,0,0,0,0,0,0
1483,18,1,1,0,0,0,0,0,0
1484,12,1,1,0,0,0,0,0,0
1485,31,1,1,0,0,0,0,0,0
1486,16,1,1,0,0,0,0,0,0
1487,11,1,1,0,0,0,0,0,0
1488,6,1,1,0,0,0,0,0,0
1489,26,1,1,0,0,0,0,0,0
1490,26,1,1,0,0,0,0,0,0
1491,15,1,1,0,0,0,0,0,0
1492,13,1,1,0,0,0,0,0,0
1493,26,1,1,0,0,0,0,0,0
1494,6,1,1,0,0,0,0,0,0
1495,32,1,1,0,0,0,0,0,0
1496,20,1,1,0,0,0,0,0,0
1497,1,1,1,0,0,0,0,0,0
1498,27,1,1,0,0,0,0,0,0
1499,2,1,1,0,0,0,0,0,0
1500,5,1,1,0,0,0,0,0,0
1501,33,1,1,0,0,0,0,0,0
1502,29,1,1,0,0,0,0,0,0
1503,2,1,1,0,0,0,0,0,0
1504,23,1,1,0,0,0,0,0,0
1505,7,1,1,0,0,0,0,0,0
1506,20,1,1,0,0,0,0,0,0
1507,22,1,1,0,0,0,0,0,0
1508,37,1,1,0,0,0,0,0,0
1509,1,1,1,0,0,0,0,0,0
1510,30,1,1,0,0,0,0,0,0
1511,13,1,1,0,0,0,0,0,0
1512,33,1,1,0,0,0,0,0,0
1513,30,1,1,0,0,0,0,0,0
1514,31,1,1,0,0,0,0,0,0
1515,29,1,1,0,0,0,0,0,0
1516,8,1,1,0,0,0,0,0,0
1517,9,1,1,0,0,0,0,0,0
1518,22,1,1,0,0,0,0,0,0
1519,27,1,1,0,0,0,0,0,0
1520,27,1,1,0,0,0,0,0,0
1521,10,1,1,0,0,0,0,0,0
1522,31,1,1,0,0,0,0,0,0
1523,4,1,1,0,0,0,0,0,0
1524,13,1,1,0,0,0,0,0,0
1525,1,1,1,0,0,0,0,0,0
1526,5,1,1,0,0,0,0,0,0
1527,15,1,1,0,0,0,0,0,0
1528,14,1,1,0,0,0,0,0,0
1529,11,1,1,0,0,0,0,0,0
1530,13,1,1,0,0,0,0,0,0
1531,19,1,1,0,0,0,0,0,0
1532,13,1,1,0,0,0,0,0,0
1533,34,1,1,0,0,0,0,0,0
1534,35,1,1,0,0,0,0,0,0
1535,4,1,1,0,0,0,0,0,0
1536,18,1,1,0,0,0,0,0,0
1537,9,1,1,0,0,0,0,0,0
1538,29,1,1,0,0,0,0,0,0
1539,37,1,1,0,0,0,0,0,0
1540,26,1,1,0,0,0,0,0,0
1541,37,1,1,0,0,0,0,0,0
1542,19,1,1,0,0,0,0,0,0
1543,17,1,1,0,0,0,0,0,0
1544,5,1,1,0,0,0,0,0,0
1545,4,1,1,0,0,0,0,0,0
1546,32,1,1,0,0,0,0,0,0
1547,30,1,1,0,0,0,0,0,0
1548,10,1,1,0,0,0,0,0,0
1549,14,1,1,0,0,0,0,0,0
1550,19,1,1,0,0,0,0,0,0
1551,28,1,1,0,0,0,0,0,0
1552,13,1,1,0,0,0,0,0,0
1553,14,1,1,0,0,0,0,0,0
1554,37,1,1,0,0,0,0,0,0
1555,18,1,1,0,0,0,0,0,0
1556,1,1,1,0,0,0,0,0,0
1557,22,1,1,0,0,0,0,0,0
1558,8,1,1,0,0,0,0,0,0
1559,32,1,1,0,0,0,0,0,0
1560,14,1,1,0,0,0,0,0,0
1561,8,1,1,0,0,0,0,0,0
1562,9,1,1,0,0,0,0,0,0
1563,15,1,1,0,0,0,0,0,0
1564,22,1,1,0,0,0,0,0,0
1565,16,1,1,0,0,0,0,0,0
1566,21,1,1,0,0,0,0,0,0
1567,16,1,1,0,0,0,0,0,0
1568,22,1,1,0,0,0,0,0,0
1569,16,1,1,0,0,0,0,0,0
1570,19,1,1,0,0,0,0,0,0
1571,26,1,1,0,0,0,0,0,0
1572,31,1,1,0,0,0,0,0,0
1573,25,1,1,0,0,0,0,0,0
1574,5,1,1,0,0,0,0,0,0
1575,37,1,1,0,0,0,0,0,0
1576,12,1,1,0,0,0,0,0,0
1577,23,1,1,0,0,0,0,0,0
1578,24,1,1,0,0,0,0,0,0
1579,15,1,1,0,0,0,0,0,0
1580,34,1,1,0,0,0,0,0,0
1581,16,1,1,0,0,0,0,0,0
1582,33,1,1,0,0,0,0,0,0
1583,29,1,1,0,0,0,0,0,0
1584,27,1,1,0,0,0,0,0,0
1585,35,1,1,0,0,0,0,0,0
1586,12,1,1,0,0,0,0,0,0
1587,3,1,1,0,0,0,0,0,0
1588,11,1,1,0,0,0,0,0,0
1589,19,1,1,0,0,0,0,0,0
1590,33,1,1,0,0,0,0,0,0
1591,33,1,1,0,0,0,0,0,0
1592,27,1,1,0,0,0,0,0,0
1593,13,1,1,0,0,0,0,0,0
1594,31,1,1,0,0,0,0,0,0
1595,5,1,1,0,0,0,0,0,0
1596,8,1,1,0,0,0,0,0,0
1597,18,1,1,0,0,0,0,0,0
1598,34,1,1,0,0,0,0,0,0
1599,28,1,1,0,0,0,0,0,0
1600,14,1,1,0,0,0,0,0,0
1601,31,1,1,0,0,0,0,0,0
1602,35,1,1,0,0,0,0,0,0
1603,8,1,1,0,0,0,0,0,0
1604,22,1,1,0,0,0,0,0,0
1605,36,1,1,0,0,0,0,0,0
1606,6,1,1,0,0,0,0,0,0
1607,21,1,1,0,0,0,0,0,0
1608,36,1,1,0,0,0,0,0,0
1609,23,1,1,0,0,0,0,0,0
1610,4,1,1,0,0,0,0,0,0
1611,12,1,1,0,0,0,0,0,0
1612,31,1,1,0,0,0,0,0,0
1613,22,1,1,0,0,0,0,0,0
1614,17,1,1,0,0,0,0,0,0
1615,18,1,1,0,0,0,0,0,0
1616,11,1,1,0,0,0,0,0,0
1617,21,1,1,0,0,0,0,0,0
1618,1,1,1,0,0,0,0,0,0
1619,23,1,1,0,0,0,0,0,0
1620,18,1,1,0,0,0,0,0,0
1621,18,1,1,0,0,0,0,0,0
1622,32,1,1,0,0,0,0,0,0
1623,20,1,1,0,0,0,0,0,0
1624,7,1,1,0,0,0,0,0,0
1625,37,1,1,0,0,0,0,0,0
1626,4,1,1,0,0,0,0,0,0
1627,34,1,1,0,0,0,0,0,0
1628,36,1,1,0,0,0,0,0,0
1629,22,1,1,0,0,0,0,0,0
1630,12,1,1,0,0,0,0,0,0
